PartitionKey,RowKey,Timestamp,Content,Content@type,ContentSource,ContentSource@type,ContentType,ContentType@type,Name,Name@type
Core,Multiclassing Prerequisites,2023-05-30T20:15:37.9866486Z,"|Class||Ability Score Minimum|
|:--|:--:|:--|
|Berserker||Strength 13|
|Consular||Wisdom or Charisma 13|
|Engineer||Intelligence 13|
|Fighter||Strength or Dexterity 13|
|Guardian||Constitution 13, Wisdom or Charisma 13|
|Monk||Dexterity 13, Wisdom or Charisma 13|
|Operative||Dexterity 13|
|Scholar||Intelligence 13|
|Scout||Strength or Dexterity 13, Intelligence 13|
|Sentinel||Dexterity 13, Wisdom or Charisma 13|",String,None,String,Core,String,Multiclassing Prerequisites,String
Core,Multiclassing Proficiencies,2023-05-30T20:15:37.9866486Z,"|Class||Proficiencies Gained|
|:--|:--:|:--|
|Berserker||Light armor, all vibroweapons||
|Consular||Simple lightweapons|
|Fighter||Light armor, medium armor, all blasters, all vibroweapons|
|Engineer||Light armor, one skill from the class's skill list, one tool from the class's list|
|Guardian||Light armor, medium armor, all lightweapons, all vibroweapons|
|Operative||Light armor, any one skill, one tool from the class's list|
|Monk||Techblades|
|Scout||Light armor, medium armor, all blasters, all vibroweapons, one skill from the class's list|
|Scholar||Light armor, one skill from the class's list|
|Sentinel||Light armor, simple lightweapons, one skill from the class's list|",String,None,String,Core,String,Multiclassing Proficiencies,String
Core,Sample Realspace Travel Times,2021-03-30T23:19:06.601764Z,"|Distance|Time Required|
|:--|--:|
|Surface of planet to orbit|1-5 minutes|
|Orbit to safe hyperspace jump distance|1 minute|
|Orbit to planet's moon|10-30 minutes|
|Orbit to another planet in the same system|2-6 hours|
|Orbit to outer edge of system|12-24 hours|",String,None,String,Core,String,Sample Realspace Travel Times,String
Core,Slowed Level,2023-05-30T20:15:37.9896459Z,"|Level|Effect|
|:--:|:--|
|1|Speed reduced by 15 feet|
|2|Speed reduced by 25 feet|
|3|Speed reduced by 30 feet|
|4|Speed reduced to 0, and can't benefit from any bonus to speed|",String,None,String,Core,String,Slowed Level,String
Core,Starship Size Base Turning Speed,2023-05-30T20:15:37.9886472Z,"The Player's Handbook mirrors the traditional 5th edition Player's Handbook, with the following deviations.",String,None,String,Core,String,Starship Size Base Turning Speed,String
Core,Starship Size Building Workforce,2023-05-30T20:15:37.9866486Z,"The Player's Handbook mirrors the traditional 5th edition Player's Handbook, with the following deviations.",String,None,String,Core,String,Starship Size Building Workforce,String
Core,Starship Size Cargo Capacity,2023-05-30T20:15:37.9886472Z,,String,None,String,Core,String,Starship Size Cargo Capacity,String
Core,Starship Size Categories,2023-05-30T20:15:37.9896459Z,"|Size|Space|
|:--|:--|
|Tiny|Up to 25 ft.|
|Small|25 to 50 ft.|
|Medium|50 to 250 ft.|
|Large|250 to 2,500 ft.|
|Huge|2,500 to 10,000 ft.|
|Gargantuan|10,000 ft. or larger|",String,None,String,Core,String,Starship Size Categories,String
Core,Starship Size Equipment Cost,2023-05-30T20:15:37.9886472Z,,String,None,String,Core,String,Starship Size Equipment Cost,String
Core,Starship Size Equipment Workforce,2023-05-30T20:15:37.9886472Z,,String,None,String,Core,String,Starship Size Equipment Workforce,String
Core,Starship Size Food Capacity,2023-05-30T20:15:37.9886472Z,"|Starship Size|Food Capacity|
|:--|--:|
|Tiny| -|
|Small| 10 portions|
|Medium| 120 portions|
|Large| 240,000 portions|
|Huge| 9,600,000 portions|
|Gargantuan| 576,000,000 portions|",String,None,String,Core,String,Starship Size Food Capacity,String
Core,Starship Size Fuel Capacity,2023-05-30T20:15:37.9886472Z,"|Starship Size|Fuel Capacity|
|:--|--:|
|Tiny| 5 units|
|Small| 10 units|
|Medium| 30 units|
|Large| 300 units|
|Huge| 600 units|
|Gargantuan| 1,800 units|",String,None,String,Core,String,Starship Size Fuel Capacity,String
Core,Starship Size Fuel Cost,2023-05-30T20:15:37.9886472Z,"|Starship Size|Fuel Cost|
|:--|--:|
|Tiny|25 cr/unit|
|Small|50 cr/unit|
|Medium|100 cr/unit|
|Large|1,000 cr/unit|
|Huge|10,000 cr/unit|
|Gargantuan|100,000 cr/unit|",String,None,String,Core,String,Starship Size Fuel Cost,String
Core,Starship Size Maximum Suites,2023-05-30T20:15:37.9876476Z,"| Starship Size | Maximum Suites |
|:----:|:----:|
| Tiny  | — |
| Small  | -1 + con. mod. |
| Medium  | 3 + con. mod. |
| Large  | 3 + 2x con. mod. |
| Huge | 6 + 3x con. mod. |
| Gargantuan | 10 + 4x con. mod. |",String,None,String,Core,String,Starship Size Maximum Suites,String
Core,Starship Size Minimum Crew,2023-05-30T20:15:37.9886472Z,"The Player's Handbook mirrors the traditional 5th edition Player's Handbook, with the following deviations.",String,None,String,Core,String,Starship Size Minimum Crew,String
Core,Starship Size Modification Cost,2023-05-30T20:15:37.9876476Z,"| Starship Size | Cost Modifier |
|:----:|:-------------:|
| Tiny  |x 0.5 |
| Small |x 1 |
| Medium|x 2 |
| Large |x 5 |
| Huge |x 50 |
| Gargantuan |x 500 |",String,None,String,Core,String,Starship Size Modification Cost,String
Core,Starship Size Modification Workforce,2023-05-30T20:15:37.9876476Z,"| Starship Size | Minimum Workforce |
|:----:|:----:|
| Tiny  | 1 |
| Small  | 2 |
| Medium  | 4 |
| Large  | 10 |
| Huge | 100 |
| Gargantuan | 1,000 |",String,None,String,Core,String,Starship Size Modification Workforce,String
Core,Starship Size Refitting Time,2023-05-30T20:15:37.9896459Z,"|Starship Size|Time|
|:--|--:|
|Tiny|4 hours|
|Small|8 hours|
|Medium|1 day|
|Large|3 days|
|Huge|1 week|
|Gargantuan|1 month|",String,None,String,Core,String,Starship Size Refitting Time,String
Core,Starship Size Stock Cost,2023-05-30T20:15:37.9866486Z,"The Player's Handbook mirrors the traditional 5th edition Player's Handbook, with the following deviations.",String,None,String,Core,String,Starship Size Stock Cost,String
Core,Starship Size Suite Capacity,2023-05-30T20:15:37.9876476Z,"| Starship Size | Suite Capacity |
|:----:|:----:|
| Tiny  | — |
| Small  | 1 |
| Medium  | 4 |
| Large  | 400 |
| Huge | 4,000 |
| Gargantuan | 40,000 |",String,None,String,Core,String,Starship Size Suite Capacity,String
Core,Starship Size Upgrade Cost,2023-05-30T20:15:37.9876476Z,"The Player's Handbook mirrors the traditional 5th edition Player's Handbook, with the following deviations.",String,None,String,Core,String,Starship Size Upgrade Cost,String
Core,Starship Size Upgrade Workforce,2023-05-30T20:15:37.9876476Z,"The Player's Handbook mirrors the traditional 5th edition Player's Handbook, with the following deviations.",String,None,String,Core,String,Starship Size Upgrade Workforce,String
Core,XP and PB by Level,2023-05-30T20:15:37.9866486Z,"|Experience Points|Level|Proficiency Bonus|
|:--:|:--:|:--:|
|0	|1	|+2|
|300	|2	|+2|
|900	|3	|+2|
|2,700	|4	|+2|
|6,500	|5	|+3|
|14,000	|6	|+3|
|23,000	|7	|+3|
|34,000	|8	|+3|
|48,000	|9	|+4|
|64,000	|10	|+4|
|85,000	|11	|+4|
|100,000	|12	|+4|
|120,000	|13	|+5|
|140,000	|14	|+5|
|165,000	|15	|+5|
|195,000	|16	|+5|
|225,000	|17	|+6|
|265,000	|18	|+6|
|305,000	|19	|+6|
|355,000	|20	|+6|",String,None,String,Core,String,XP and PB by Level,String
