PartitionKey,RowKey,Timestamp,ArmorClassification,ArmorClassification@type,ContentSource,ContentSource@type,ContentType,ContentType@type,Cost,Cost@type,DamageDieModifier,DamageDieModifier@type,DamageDieType,DamageDieType@type,DamageNumberOfDice,DamageNumberOfDice@type,DamageType,DamageType@type,EquipmentCategory,EquipmentCategory@type,ModesJson,ModesJson@type,Name,Name@type,PropertiesJson,PropertiesJson@type,PropertiesMapJson,PropertiesMapJson@type,StealthDisadvantage,StealthDisadvantage@type,WeaponClassification,WeaponClassification@type,Weight,Weight@type,Description,Description@type,AC,AC@type,StrengthRequirement,StrengthRequirement@type
Core,Biotech's implements,2023-05-30T20:15:38.6932443Z,Unknown,String,PHB,String,Core,String,450,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Tool,String,[],String,Biotech's implements,String,,String,,String,false,Boolean,Unknown,String,6,String,,,,,,
Core,Bipod,2023-05-30T20:15:38.971087Z,Unknown,String,PHB,String,Core,String,200,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,WeaponOrArmorAccessory,String,[],String,Bipod,String,,String,,String,false,Boolean,Unknown,String,2,String,"A bipod is a device mounted to a two-handed blaster that lacks the fixed property to offer increased stability while prone. As an action, you can deploy or collapse the bipod. While deployed, you ignore the Strength requirement on the attached blaster with the strength property while you are prone, and your speed is reduced to 0. Additionally, while deployed and prone, you have a +10 bonus to ability checks and saving throws to avoid being disarmed of the weapon.",String,,,,
Core,Bitesaber,2023-05-30T20:15:17.4303707Z,Unknown,String,WH,String,Core,String,1800,Int32,0,Int32,6,Int32,1,Int32,Acid,String,Weapon,String,[],String,Bitesaber,String,"[""Biting 13"",""hidden"",""luminous"",""versatile (2d4)""]",String,"{""Biting"":""Biting 13"",""Hidden"":""hidden"",""Luminous"":""luminous"",""Versatile"":""versatile (2d4)""}",String,false,Boolean,MartialLightweapon,String,2.5,String,,,,,,
Core,Blanket,2023-05-30T20:15:38.9680886Z,Unknown,String,PHB,String,Core,String,5,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Utility,String,[],String,Blanket,String,,String,,String,false,Boolean,Unknown,String,3,String,,,,,,
Core,Blaster carbine,2023-05-30T20:15:38.6782539Z,Unknown,String,PHB,String,Core,String,425,Int32,0,Int32,6,Int32,1,Int32,Energy,String,Weapon,String,[],String,Blaster carbine,String,"[""Power cell (range 70/280)"",""reload 16"",""two-handed""]",String,"{""Power Cell"":""Power cell (range 70/280)"",""Reload"":""reload 16"",""Two-Handed"":""two-handed""}",String,false,Boolean,SimpleBlaster,String,5.5,String,,,,,,
Core,Blaster pistol,2023-05-30T20:15:38.6782539Z,Unknown,String,PHB,String,Core,String,175,Int32,0,Int32,6,Int32,1,Int32,Energy,String,Weapon,String,[],String,Blaster pistol,String,"[""Power cell (range 50/200)"",""reload 16""]",String,"{""Power Cell"":""Power cell (range 50/200)"",""Reload"":""reload 16""}",String,false,Boolean,SimpleBlaster,String,2.5,String,,,,,,
Core,Blaster rifle,2023-05-30T20:15:38.6812514Z,Unknown,String,PHB,String,Core,String,525,Int32,0,Int32,8,Int32,1,Int32,Energy,String,Weapon,String,[],String,Blaster rifle,String,"[""Power cell (range 105/420)"",""reload 12"",""two-handed""]",String,"{""Power Cell"":""Power cell (range 105/420)"",""Reload"":""reload 12"",""Two-Handed"":""two-handed""}",String,false,Boolean,MartialBlaster,String,7.5,String,,,,,,
Core,Blightsaber,2023-05-30T20:15:17.4303707Z,Unknown,String,WH,String,Core,String,1800,Int32,0,Int32,6,Int32,1,Int32,Necrotic,String,Weapon,String,[],String,Blightsaber,String,"[""Corruption 13"",""hidden"",""versatile (2d4)""]",String,"{""Corruption"":""Corruption 13"",""Hidden"":""hidden"",""Versatile"":""versatile (2d4)""}",String,false,Boolean,MartialLightweapon,String,2.5,String,,,,,,
Core,Bone light shield,2023-05-30T20:15:17.4333705Z,Shield,String,WH,String,Core,String,300,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Armor,String,[],String,Bone light shield,String,"[""Spiked (1d4)""]",String,"{""Spiked"":""Spiked (1d4)""}",String,false,Boolean,Unknown,String,0,String,,,+0,String,,String
Core,Bottle,2023-05-30T20:15:38.9670882Z,Unknown,String,PHB,String,Core,String,20,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Storage,String,[],String,Bottle,String,,String,,String,false,Boolean,Unknown,String,1,String,A bottle stores 1 and 1/2 pints of liquid.,String,,,,
Core,Bowcaster,2023-05-30T20:15:38.6792533Z,Unknown,String,PHB,String,Core,String,1150,Int32,0,Int32,10,Int32,1,Int32,Energy,String,Weapon,String,[],String,Bowcaster,String,"[""Burst 4"",""power cell (range 50/200)"",""reload 4"",""strength 13"",""two-handed""]",String,"{""Burst"":""Burst 4"",""Power Cell"":""power cell (range 50/200)"",""Reload"":""reload 4"",""Strength"":""strength 13"",""Two-Handed"":""two-handed""}",String,false,Boolean,SimpleBlaster,String,11,String,,,,,,
Core,Brewer's kit,2023-05-30T20:15:17.4353692Z,Unknown,String,WH,String,Core,String,200,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Kit,String,[],String,Brewer's kit,String,,String,,String,false,Boolean,Unknown,String,9,String,,,,,,
Core,Brightsaber,2023-05-30T20:15:17.4303707Z,Unknown,String,WH,String,Core,String,1800,Int32,0,Int32,6,Int32,1,Int32,Fire,String,Weapon,String,[],String,Brightsaber,String,"[""Bright 13"",""hidden"",""luminous"",""versatile (2d4)""]",String,"{""Bright"":""Bright 13"",""Hidden"":""hidden"",""Luminous"":""luminous"",""Versatile"":""versatile (2d4)""}",String,false,Boolean,MartialLightweapon,String,2.5,String,,,,,,
Core,Broadsaber,2023-05-30T20:15:17.4303707Z,Unknown,String,WH,String,Core,String,1000,Int32,0,Int32,4,Int32,2,Int32,Energy,String,Weapon,String,[],String,Broadsaber,String,"[""Dexterity 13"",""dire 1"",""luminous"",""versatile (1d8)""]",String,"{""Dexterity"":""Dexterity 13"",""Dire"":""dire 1"",""Luminous"":""luminous"",""Versatile"":""versatile (1d8)""}",String,false,Boolean,MartialLightweapon,String,2.75,String,,,,,,
Core,Bustersaber,2023-05-30T20:15:17.4303707Z,Unknown,String,WH,String,Core,String,2900,Int32,0,Int32,12,Int32,1,Int32,Energy,String,Weapon,String,[],String,Bustersaber,String,"[""Brutal 1"",""dexterity 19"",""heavy"",""keen 1"",""luminous"",""reach"",""two-handed""]",String,"{""Brutal"":""Brutal 1"",""Dexterity"":""dexterity 19"",""Heavy"":""heavy"",""Keen"":""keen 1"",""Luminous"":""luminous"",""Reach"":""reach"",""Two-Handed"":""two-handed""}",String,false,Boolean,MartialLightweapon,String,7.25,String,,,,,,
Core,Camtono,2023-05-30T20:15:17.2034998Z,Unknown,String,WH,String,Core,String,750,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Storage,String,[],String,Camtono,String,,String,,String,false,Boolean,Unknown,String,0,String,"A camtono is a secured, handle container used for transporting valuable goods. A camtono comes with one key. Without the key, unlocking the camtono requires a DC 15 security kit to force open. It stores 5 lb., not exceeding 1/4 cubic foot, has an AC of 10, and 15 hit points. Destroying the camtono risks damaging any goods stored inside.",String,,,,
Core,Canteen,2023-05-30T20:15:38.9670882Z,Unknown,String,PHB,String,Core,String,10,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Storage,String,[],String,Canteen,String,,String,,String,false,Boolean,Unknown,String,3,String,A canteen stores 4 pints of liquid.,String,,,,
Core,Carbine rifle,2023-05-30T20:15:38.6812514Z,Unknown,String,PHB,String,Core,String,925,Int32,0,Int32,8,Int32,1,Int32,Energy,String,Weapon,String,[],String,Carbine rifle,String,"[""Auto"",""power cell (range 90/360)"",""rapid 3"",""reload 12"",""strength 11"",""two-handed""]",String,"{""Auto"":""Auto"",""Power Cell"":""power cell (range 90/360)"",""Rapid"":""rapid 3"",""Reload"":""reload 12"",""Strength"":""strength 11"",""Two-Handed"":""two-handed""}",String,false,Boolean,MartialBlaster,String,8.5,String,,,,,,
Core,Chaingun,2023-05-30T20:15:17.4243743Z,Unknown,String,WH,String,Core,String,1325,Int32,0,Int32,4,Int32,2,Int32,Kinetic,String,Weapon,String,[],String,Chaingun,String,"[""Auto"",""rapid 2"",""reload 8"",""slug cartridge (range 80/320)"",""strength 13"",""two-handed"",""vicious 1""]",String,"{""Auto"":""Auto"",""Rapid"":""rapid 2"",""Reload"":""reload 8"",""Range"":""slug cartridge (range 80/320)"",""Strength"":""strength 13"",""Two-Handed"":""two-handed"",""Vicious"":""vicious 1""}",String,false,Boolean,MartialBlaster,String,10.5,String,,,,,,
Core,Chakram,2023-05-30T20:15:38.6842512Z,Unknown,String,PHB,String,Core,String,175,Int32,0,Int32,6,Int32,1,Int32,Kinetic,String,Weapon,String,[],String,Chakram,String,"[""Finesse"",""returning"",""thrown (range 30/90)""]",String,"{""Finesse"":""Finesse"",""Returning"":""returning"",""Range"":""thrown (range 30/90)""}",String,false,Boolean,MartialVibroweapon,String,3,String,,,,,,
Core,Chance cubes,2023-05-30T20:15:38.6932443Z,Unknown,String,PHB,String,Core,String,1,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,GamingSet,String,[],String,Chance cubes,String,,String,,String,false,Boolean,Unknown,String,0,String,,,,,,
Core,Chatta-ragul set,2023-05-30T20:15:17.2074977Z,Unknown,String,WH,String,Core,String,450,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,GamingSet,String,[],String,Chatta-ragul set,String,,String,,String,false,Boolean,Unknown,String,0,String,,,,,,
Core,Chef's kit,2023-05-30T20:15:38.9590936Z,Unknown,String,PHB,String,Core,String,70,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Kit,String,[],String,Chef's kit,String,,String,,String,false,Boolean,Unknown,String,8,String,,,,,,
Core,Chest,2023-05-30T20:15:38.9670882Z,Unknown,String,PHB,String,Core,String,50,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Storage,String,[],String,Chest,String,,String,,String,false,Boolean,Unknown,String,25,String,"A chest stores 300 lb., not exceeding 12 cubic feet. ",String,,,,
Core,Chindinkalu horn,2023-05-30T20:15:17.2084975Z,Unknown,String,WH,String,Core,String,120,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,MusicalInstrument,String,[],String,Chindinkalu horn,String,,String,,String,false,Boolean,Unknown,String,7,String,,,,,,
Core,Chronometer,2023-05-30T20:15:38.9680886Z,Unknown,String,PHB,String,Core,String,100,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Utility,String,[],String,Chronometer,String,,String,,String,false,Boolean,Unknown,String,1,String,A chronometer is a device that measures and keeps linear time.,String,,,,
Core,Cilona,2023-05-30T20:15:17.205499Z,Unknown,String,WH,String,Core,String,60,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Spice,String,[],String,Cilona,String,,String,,String,false,Boolean,Unknown,String,0,String,"Cilona, the active ingredient in deathsticks, is a hallucinogen that causes an ecstatic feeling that improves strength. As an action, you can apply this substance to a creature within 5 feet. For the next minute, the creature experiences a high that allows them to roll an additional d3 when making an ability check, attack roll, or saving throw using Strength. At the end of the high, the creature must succeed on a DC 14 Wisdom saving throw or experience a low that lasts 10 minutes, during which they must roll a d3 and subtract the result when making an ability check, attack roll, or saving throw using Strength. At the end of the low, the creature must make a DC 14 Constitution saving throw to resist addiction.",String,,,,
Core,"Clothes, clandestine",2023-05-30T20:15:17.1985038Z,Unknown,String,WH,String,Core,String,300,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Clothing,String,[],String,"Clothes, clandestine",String,,String,,String,false,Boolean,Unknown,String,7,String,"These clothes come with two hidden pockets, each of which can store up to 1.00 lb. Finding these hidden pockets requires a DC 15 Investigation check.",String,,,,
Core,"Clothes, common",2023-05-30T20:15:38.9610928Z,Unknown,String,PHB,String,Core,String,5,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Clothing,String,[],String,"Clothes, common",String,,String,,String,false,Boolean,Unknown,String,3,String,,,,,,
Core,"Clothes, costume",2023-05-30T20:15:38.9610928Z,Unknown,String,PHB,String,Core,String,50,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Clothing,String,[],String,"Clothes, costume",String,,String,,String,false,Boolean,Unknown,String,4,String,,,,,,
Core,"Clothes, dress uniform",2023-05-30T20:15:38.9610928Z,Unknown,String,PHB,String,Core,String,100,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Clothing,String,[],String,"Clothes, dress uniform",String,,String,,String,false,Boolean,Unknown,String,8,String,,,,,,
Core,"Clothes, fine",2023-05-30T20:15:38.9620914Z,Unknown,String,PHB,String,Core,String,150,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Clothing,String,[],String,"Clothes, fine",String,,String,,String,false,Boolean,Unknown,String,6,String,,,,,,
Core,"Clothes, traveler's",2023-05-30T20:15:38.9620914Z,Unknown,String,PHB,String,Core,String,20,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Clothing,String,[],String,"Clothes, traveler's",String,,String,,String,false,Boolean,Unknown,String,4,String,,,,,,
Core,Code cylinder,2023-05-30T20:15:38.963091Z,Unknown,String,PHB,String,Core,String,20,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,DataRecordingAndStorage,String,[],String,Code cylinder,String,,String,,String,false,Boolean,Unknown,String,0.5,String,Code cylinders are security devices in the shape of short cylinders that contain coded information about their bearers and grant them access to secure areas.,String,,,,
Core,Combat suit,2023-05-30T20:15:38.6892471Z,Light,String,PHB,String,Core,String,100,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Armor,String,[],String,Combat suit,String,[],String,{},String,false,Boolean,Unknown,String,10,String,"Combat suits are seen all over the galaxy, and can be found for sale by almost any merchant who dealt in weapons and armor. Many such suits are used by military organizations, such as the Galactic Republic's military, as well as by mercenaries, criminals, bounty hunters and even some Jedi.

The suit itself offers decent protection from most types of attacks while maintaining maximum flexibility and minimum weight. However this armor is only recommended for light skirmishes.",String,11 + Dex modifier,String,,String
Core,Comm jammer,2023-05-30T20:15:38.9620914Z,Unknown,String,PHB,String,Core,String,450,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Communications,String,[],String,Comm jammer,String,,String,,String,false,Boolean,Unknown,String,3,String,"A device used to scramble and block transmissions from communications devices in a 300 foot radius. The device can be activated or deactivated as an action. Any creature sending incoming or outgoing communications within range must succeed on a DC 15 Intelligence (Technology) check. On a failure, their communications are jammed until the comm jammer is deactivated or they move out of its range. The comm jammer lasts for 1 hour and can be recharged by connecting to a power source or by replacing the power cell.",String,,,,
Core,Commlink,2023-05-30T20:15:38.9620914Z,Unknown,String,PHB,String,Core,String,50,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Communications,String,[],String,Commlink,String,,String,,String,false,Boolean,Unknown,String,0.5,String,"commlinks are simple handheld communication devices, fitted with microphones and receivers. Basic, personal commlinks have a range of up to 30 miles, but are reduced in dense, urban areas or areas of high level interference. The commlink lasts for 10 hours and can be recharged by connecting to a power source or by replacing the power cell.",String,,,,
Core,"Commlink, hands-free",2023-05-30T20:15:38.9620914Z,Unknown,String,PHB,String,Core,String,200,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Communications,String,[],String,"Commlink, hands-free",String,,String,,String,false,Boolean,Unknown,String,1,String,"A hands-free commlink functions as a commlink, but can be installed in a helmet or worn independently, such as on your head or ear.",String,,,,
Core,Composite armor,2023-05-30T20:15:38.6902469Z,Medium,String,PHB,String,Core,String,2500,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Armor,String,[],String,Composite armor,String,"[""Bulky""]",String,"{""Bulky"":""Bulky""}",String,true,Boolean,Unknown,String,45,String,"Composite armor is a type of armored suit that offers a good balance of mobility and protection against most types of weapons. The micro-hydraulics of this type of powered armor provide the operator with protection, but are more bulky than mesh or weave armors. This type of armor is rarely seen outside of professional mercenaries' and soldiers' use.",String,15 + Dex modifier (max 2),String,,String
Core,Computer spike,2023-05-30T20:15:17.2034998Z,Unknown,String,WH,String,Core,String,145,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Utility,String,[],String,Computer spike,String,,String,,String,false,Boolean,Unknown,String,0.5,String,"When you make an Intelligence (slicer's kit) check, you can use the spike (no action required) to reroll the check. You must use the new roll. You can wait until after you roll the d20 before deciding to use the spike, but you must decide before the GM says whether the check succeeds or fails.",String,,,,
Core,Constructor's implements,2023-05-30T20:15:17.206498Z,Unknown,String,WH,String,Core,String,100,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Tool,String,[],String,Constructor's implements,String,,String,,String,false,Boolean,Unknown,String,7,String,,,,,,
Core,Corrosive cartridge,2023-05-30T20:15:17.4363686Z,Unknown,String,WH,String,Core,String,42,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Ammunition,String,[],String,Corrosive cartridge,String,,String,,String,false,Boolean,Unknown,String,0,String,"A corrosive cartridge is a specialized slug cartridge for use with blaster weapons that deal kinetic damage. When you hit with a shot with the loaded weapon, the creature must make a DC 14 Constitution saving throw, taking 1d8 acid damage on a failed save or half as much on a successful one. If you reduce a creature to 0 hit points with the loaded weapon, it must make a DC 13 Constitution saving throw. On a failed save, it dies immediately without making death saving throws. A disintegrated creature and everything unenhanced it is wearing or carrying are reduced to a pile of fine gray dust. A creature destroyed in this way can not be revitalized. ",String,,,,
